Move Sequence,FEN,Evaluation,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination
e2e4,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.2,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6,rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.13,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4,rnbqkbnr/pppp1ppp/4p3/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,-0.31,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5,rnbqkbnr/ppp2ppp/4p3/3p4/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,-0.28,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5,rnbqkbnr/ppp2ppp/4p3/3P4/2B5/8/PPPP1PPP/RNBQK1NR b KQkq - 0 3,-0.37,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5,rnbqkbnr/ppp2ppp/8/3p4/2B5/8/PPPP1PPP/RNBQK1NR w KQkq - 0 4,-0.31,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3,rnbqkbnr/ppp2ppp/8/3p4/8/1B6/PPPP1PPP/RNBQK1NR b KQkq - 1 4,-0.33,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6,rnbqkb1r/ppp2ppp/5n2/3p4/8/1B6/PPPP1PPP/RNBQK1NR w KQkq - 2 5,-0.35,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4,rnbqkb1r/ppp2ppp/5n2/3p4/3P4/1B6/PPP2PPP/RNBQK1NR b KQkq - 0 5,-0.34,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7,rnbqk2r/ppp1bppp/5n2/3p4/3P4/1B6/PPP2PPP/RNBQK1NR w KQkq - 1 6,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3,rnbqk2r/ppp1bppp/5n2/3p4/3P4/1B3N2/PPP2PPP/RNBQK2R b KQkq - 2 6,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8,rnbq1rk1/ppp1bppp/5n2/3p4/3P4/1B3N2/PPP2PPP/RNBQK2R w KQ - 3 7,-0.08,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5,rnbq1rk1/ppp1bppp/5n2/3p2B1/3P4/1B3N2/PPP2PPP/RN1QK2R b KQ - 4 7,-0.19,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6,rnbq1rk1/ppp1bpp1/5n1p/3p2B1/3P4/1B3N2/PPP2PPP/RN1QK2R w KQ - 0 8,-0.29,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6,rnbq1rk1/ppp1bpp1/5B1p/3p4/3P4/1B3N2/PPP2PPP/RN1QK2R b KQ - 0 8,-0.36,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6,rnbq1rk1/ppp2pp1/5b1p/3p4/3P4/1B3N2/PPP2PPP/RN1QK2R w KQ - 0 9,-0.37,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1,rnbq1rk1/ppp2pp1/5b1p/3p4/3P4/1B3N2/PPP2PPP/RN1Q1RK1 b - - 1 9,-0.36,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6,rnbq1rk1/pp3pp1/2p2b1p/3p4/3P4/1B3N2/PPP2PPP/RN1Q1RK1 w - - 0 10,-0.12,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1,rnbq1rk1/pp3pp1/2p2b1p/3p4/3P4/1B3N2/PPP2PPP/RN1QR1K1 b - - 1 10,-0.17,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5,rn1q1rk1/pp3pp1/2p2b1p/3p1b2/3P4/1B3N2/PPP2PPP/RN1QR1K1 w - - 2 11,-0.04,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4,rn1q1rk1/pp3pp1/2p2b1p/3p1b2/2PP4/1B3N2/PP3PPP/RN1QR1K1 b - - 0 11,-0.67,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4,rn1q1rk1/pp3pp1/2p2b1p/5b2/2pP4/1B3N2/PP3PPP/RN1QR1K1 w - - 0 12,-0.5,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4,rn1q1rk1/pp3pp1/2p2b1p/5b2/2BP4/5N2/PP3PPP/RN1QR1K1 b - - 0 12,-0.77,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7,r2q1rk1/pp1n1pp1/2p2b1p/5b2/2BP4/5N2/PP3PPP/RN1QR1K1 w - - 1 13,-0.1,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3,r2q1rk1/pp1n1pp1/2p2b1p/5b2/2BP4/2N2N2/PP3PPP/R2QR1K1 b - - 2 13,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
e2e4 e7e6 f1c4 d7d5 e4d5 e6d5 c4b3 g8f6 d2d4 f8e7 g1f3 e8g8 c1g5 h7h6 g5f6 e7f6 e1g1 c7c6 f1e1 c8f5 c2c4 d5c4 b3c4 b8d7 b1c3 d7b6,r2q1rk1/pp3pp1/1np2b1p/5b2/2BP4/2N2N2/PP3PPP/R2QR1K1 w - - 3 14,0.0,1182,1457,0-1,C00,French Defense #2,60+0,Normal
